national_party,ep_group,quantity_votes_party,quantity_votes_group,party_defection,party_cohesion,group_defection,group_cohesion
Lietuvos Respublikos liberalų sąjūdis,Group of the Alliance of Liberals and Democrats for Europe,0,1821,,0.013045159482080975,,0.9267413313721699
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1900,1900,0.011828861927546138,0.023381469349763026,0.9822847963440069,0.952366489408974
Partido Popular,Group of the European People's Party (Christian Democrats),1648,1648,0.009506929660145678,0.015025830289942995,0.9794777981780498,0.9297817874127117
Volkspartij voor Vrijheid en Democratie,Group of the Alliance of Liberals and Democrats for Europe,1769,1774,0.005652911249293386,0.12713250251590352,0.9930947012401353,0.9275300369548842
Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats),1935,2013,0.005684754521963824,0.03587252253806887,0.973919523099851,0.9242528551539885
"Génération.s, le mouvement",Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1852,1961,0.0,0.05861116744379748,0.9697858235594085,0.9514335667929446
Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1538,1582,0.0,0.01051253114617302,0.9900442477876106,0.954224311371933
Jobbik Magyarországért Mozgalom,Non-attached Members,0,1958,,0.1756690803783267,,0.42872792552237365
Christlich Demokratische Union Deutschlands,,1478,0,0.06967835208445688,,0.9471376471356817,
Reload Bulgaria Party,European Conservatives and Reformists Group,0,1137,,0.04536345306773618,,0.7457668174923141
Conservative Party,European Conservatives and Reformists Group,1646,1646,0.03611507728149677,0.08476436034865217,0.9184594527264063,0.7446048847168085
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1471,1471,0.03685449143170981,0.09396058779269229,0.9546903597761857,0.3935184286266926
Rassemblement national,Europe of Nations and Freedom Group,1764,1768,0.01374402713688428,0.012334547791019992,0.978890345137517,0.6485972376787819
Parti Socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1892,1895,0.0010570824524312897,0.02072744193383981,0.9935356200527704,0.9548664493191921
Liberal Democrats,Group of the Alliance of Liberals and Democrats for Europe,0,1739,,0.022951523105311154,,0.9248206518764632
,Group of the Alliance of Liberals and Democrats for Europe,0,1937,,0.016699545248769862,,0.9290138064208098
Österreichische Volkspartei,Group of the European People's Party (Christian Democrats),1914,1914,0.011298328108672937,0.02447757296841291,0.9831896551724137,0.9234268868841683
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1829,1829,0.0028167840907042654,0.13770441277936393,0.9656605013357337,0.4150669771998612
Staatkundig Gereformeerde Partij,European Conservatives and Reformists Group,0,1779,,0.07296262409349416,,0.7329209727195131
Christen-Democratisch & Vlaams,Group of the European People's Party (Christian Democrats),1657,1783,0.0,0.015577142954245808,0.9949523275378576,0.9295020434243982
Det Konservative Folkeparti,Group of the European People's Party (Christian Democrats),0,1522,,0.06078852587488284,,0.9210572384840724
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1907,1907,0.009455043524919174,0.010812176182041014,0.9789595762986494,0.9550545923342217
Parti socialiste,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1817,1817,0.003161281023141232,0.012032849980486019,0.9675593600125797,0.9534874357642775
Sans étiquette,Europe of Freedom and Direct Democracy Group,0,1782,,0.18742673407504457,,0.41381730934315936
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1476,1476,0.01096610645188811,0.01075551421210952,0.9774742333079214,0.9519519950699541
Partido Nacionalista Vasco,Group of the Alliance of Liberals and Democrats for Europe,0,1966,,0.027506382559204,,0.9251427640537333
Rassemblement national,Europe of Nations and Freedom Group,1949,1949,0.010449081447029112,0.009719348655420382,0.9796925261330084,0.6547986773856733
Lega Nord,Europe of Nations and Freedom Group,2025,2030,0.009160493827160493,0.19710249687209208,0.9200615763546798,0.6519747890819384
Vänsterpartiet,Confederal Group of the European United Left - Nordic Green Left,0,1896,,0.08349126698126084,,0.784903916902435
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1981,1981,0.009350572866473927,0.019436114992882503,0.9809163997705138,0.9523614610654509
Lietuvos socialdemokratų partija,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1538,1962,0.0,0.007178820242991284,0.9919724770642202,0.9533354636346265
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1977,1977,0.003420285666112677,0.06092835218621076,0.9852317068364109,0.9253661175515607
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1815,1815,0.016927777091090064,0.018640841369831542,0.9503423165004597,0.9278875195435092
Slovenska ljudska stranka,Group of the European People's Party (Christian Democrats),0,1930,,0.017428674868789632,,0.9283998310117111
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1688,1688,0.007328934368102235,0.009980199092049315,0.9785356970642958,0.9542994788941441
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1758,1758,0.01993849654271758,0.01994600000637076,0.9665893147874678,0.9284992492770305
Lega Nord,Europe of Nations and Freedom Group,1863,1863,0.01579441760601181,0.19298683236913397,0.9198470209339775,0.6499493906460272
Movimento 5 Stelle,Non-attached Members,1787,1787,0.017088255896314096,0.22816546939884175,0.9658791264695015,0.4220806185567162
Socijaldemokratska partija Hrvatske,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1656,1815,0.0,0.008321965657912368,0.9933884297520661,0.9508979280734708
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1804,1805,0.011449754513778903,0.021683918631524423,0.9725672734467747,0.9504823965372644
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,921,921,0.00937354583527222,0.12095009210176856,0.9685706496937097,0.4203421340492565
Rassemblement national,Europe of Nations and Freedom Group,1860,1860,0.0037597483161999293,0.0057753111798506335,0.9808889385703902,0.6553181525511085
Europe Écologie,Group of the Greens/European Free Alliance,1877,1877,0.04376664890783165,0.05068975703756369,0.9682738412360149,0.9583785995706786
Sinn Féin,Confederal Group of the European United Left - Nordic Green Left,1611,1659,0.0031036623215394167,0.0697370083557644,0.9944243520192887,0.7899576757610789
Conservative Party,,600,0,0.4135028517986142,,0.9247578449877567,
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1843,1843,0.004874080668621219,0.024087752941183798,0.9853288151797258,0.9544493759822662
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1868,1868,0.008847794868004332,0.008805517776965014,0.9790660312815718,0.9538218697457548
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2052,2052,0.013815830478737134,0.015349760680866353,0.975619204692392,0.9493782242848137
Rassemblement national,Europe of Nations and Freedom Group,1813,1813,0.010450250246168614,0.00920272139253251,0.9803866706927932,0.653808600707068
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1625,1625,0.022561389823773207,0.019523674860067782,0.9457030419897288,0.9244233766365035
Ökologisch-Demokratische Partei,Group of the Greens/European Free Alliance,0,1936,,0.061069138095372774,,0.9583250840534857
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1974,1974,0.016056954696772326,0.017879985214866844,0.9645019177883919,0.9274500885969383
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1818,1818,0.010074258799506325,0.01112125694372671,0.9760014913177112,0.9572903368770599
Lega Nord,,1031,0,0.054097963142580016,,0.9224273756770063,
Partidul Naţional Liberal,Group of the European People's Party (Christian Democrats),1423,1423,0.008357594619014155,0.011406777195755755,0.9674869491014958,0.9279358383077838
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1573,1573,0.021559122695486328,0.021919523324589546,0.9761720373290622,0.9591052274921276
Platforma Obywatelska,Group of the European People's Party (Christian Democrats),1765,1765,0.015661952403537138,0.0219763347456793,0.9644408443164901,0.9244018787329341
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1827,1827,0.013439816888092752,0.017548408887022943,0.980513224232436,0.9517353060780888
Les Républicains,Group of the European People's Party (Christian Democrats),1922,1922,0.037525451482267304,0.04146445060591793,0.967509987411132,0.9246372838393031
Christen Democratisch Appèl,Group of the European People's Party (Christian Democrats),1941,1941,0.007019577537351881,0.028362345925117525,0.9825862957238536,0.9241276705673737
Conservative Party,European Conservatives and Reformists Group,1479,1479,0.06669328302965478,0.09880795297239034,0.9281739736193418,0.7368944180444967
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2033,2034,0.00701985380358253,0.008781733120878111,0.9757431718816388,0.9505059391973231
Sinn Féin,Confederal Group of the European United Left - Nordic Green Left,1721,1877,0.003486345148169669,0.07519434991933917,0.9950719232818327,0.7857761022485392
,Non-attached Members,0,1686,,0.17337592359135415,,0.43507527907252325
Partit Nazzjonalista,Group of the European People's Party (Christian Democrats),1836,1843,0.003812636165577342,0.047189522068075085,0.9883342376559957,0.9222049431408581
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1929,1929,0.009084490648900186,0.014175655186469793,0.9463305105191319,0.92542465558941
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1885,1885,0.007896307936095736,0.13940868190764094,0.9690702334800477,0.4223976379699831
Partido Popular,Group of the European People's Party (Christian Democrats),1593,1593,0.01113814387119472,0.015525963115950477,0.9784967407412571,0.9256907372281054
Génération Citoyens,Group of the Alliance of Liberals and Democrats for Europe,0,1793,,0.040828981337099716,,0.9251646256253142
Miljöpartiet de gröna,Group of the Greens/European Free Alliance,1956,1971,0.00408997955010225,0.034282074109115594,0.9834474885844748,0.9582253467138676
Unione di Centro,Group of the European People's Party (Christian Democrats),0,1423,,0.016666781949215045,,0.9393556968503036
ANO 2011,Group of the Alliance of Liberals and Democrats for Europe,1957,2034,0.0,0.050317670027892336,0.9948377581120944,0.926950715629351
Les Français Libres,Europe of Freedom and Direct Democracy Group,0,1880,,0.2093380897716952,,0.416127400176872
,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1769,,0.02683517162765191,,0.9538160794055448
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1845,1845,0.003860328025576114,0.007638208640601474,0.977547280620499,0.9526049570443345
Socialdemokratiet,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1689,1692,0.006512729425695678,0.043948738990149235,0.9906914893617021,0.9521956497821074
Coalition of the Radical Left,Confederal Group of the European United Left - Nordic Green Left,1595,1616,0.03652037617554859,0.07886554563907479,0.9502475247524752,0.7831400895430075
Forza Italia,Group of the European People's Party (Christian Democrats),1826,1828,0.013173147133990508,0.025674317165813167,0.9218299752763649,0.9272841353913556
Forza Italia,Group of the European People's Party (Christian Democrats),1715,1715,0.018310426211300846,0.03153311917125624,0.9243748185730694,0.9305279874854228
Fine Gael Party,Group of the European People's Party (Christian Democrats),1794,1795,0.007803790412486065,0.024757518844930135,0.9846100278551532,0.9234171378252828
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1623,1623,0.011490433352181749,0.09311238195741271,0.9513836524553334,0.393528682913265
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1971,1990,0.03192541856925418,0.03440239708676925,0.972927135678392,0.9248013120386449
Sinistra Italiana,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1760,,0.07260613252970984,,0.9486194160728574
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1766,1766,0.014871937502483073,0.016405428641175265,0.9451203130657335,0.9234008323971871
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1294,1294,0.03381097746920776,0.08961212490001125,0.9553223640544078,0.39225641323543037
Forza Italia,Group of the European People's Party (Christian Democrats),1571,1571,0.013046361128792702,0.023668860145963307,0.9467126365041706,0.9327351787485032
Partit Nazzjonalista,,1066,0,0.004690431519699813,,0.9876137512639029,
Moderaterna,Group of the European People's Party (Christian Democrats),1557,1636,0.018625561978163133,0.08792434982211737,0.9749388753056235,0.9276925662054464
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1760,1761,0.008769267650241915,0.025268741481652222,0.9846734605543566,0.952614390269056
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1976,1976,0.003196575691514963,0.13764350073251178,0.9657056822226356,0.41616788123760423
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1826,1826,0.015186671561766804,0.014929964985808133,0.9775227833517051,0.9531577770221467
Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,1675,1739,0.005373134328358209,0.07700719939273248,0.9909430707303047,0.7809932272495961
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1763,1763,0.014653545599539007,0.013407856764742366,0.9782446804684632,0.9535546158885981
Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,1887,1887,0.0068450803744921395,0.00882486236107896,0.9783592224768696,0.9598911453426336
Partidul Social Democrat,,156,0,0.6009348290598291,,0.9722654982148653,
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1753,1753,0.010827017629641703,0.027457732160605916,0.976339879933719,0.9516759499038496
Fianna Fáil Party,European Conservatives and Reformists Group,0,0,,,,
Strana mad'arskej komunity- Magyar Közösség Pártja,Group of the European People's Party (Christian Democrats),0,1913,,0.06384691683038358,,0.9263100126623851
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1796,1796,0.06648597319532731,0.10151376959917449,0.9553746156404843,0.7363036198870309
ChristenUnie,European Conservatives and Reformists Group,0,1909,,0.07280369553780648,,0.7409913883486267
Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1912,1950,0.0041841004184100415,0.021347455104146505,0.9802564102564103,0.9527434446215798
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1855,1855,0.003976616375538209,0.13548257840267564,0.967952007561172,0.4172014647384992
Labour Party,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1905,1905,0.0037295338082739657,0.022360668921748955,0.9854946637713391,0.9522041448397183
Partidul Social Democrat,,991,0,0.04983542357407139,,0.9745150570688526,
Les Républicains,Group of the European People's Party (Christian Democrats),1827,1827,0.0047541128821916995,0.020515653908854344,0.9676108716133346,0.9241921346865748
Les Républicains,Group of the European People's Party (Christian Democrats),1850,1850,0.011748913248913249,0.019509374979249584,0.9686323473823474,0.9261439475653768
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2038,2038,0.005376815999435597,0.008729301647965931,0.9758299516006486,0.9498504007293312
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1231,1231,0.04433040727212133,0.11358435102344909,0.9531863927593728,0.4234840899775083
Les Républicains,Group of the European People's Party (Christian Democrats),1575,1575,0.021154290154290156,0.02861259404443157,0.9676753801753804,0.9245653807539901
Open Vlaamse Liberalen en Democraten,,652,0,0.015337423312883436,,0.9895009881422925,
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1611,1611,0.020157157297672236,0.024137533891628312,0.9780293576918103,0.9533718852123405
Partij voor de Vrijheid,Europe of Nations and Freedom Group,1580,1582,0.0031645569620253164,0.21003741400694895,0.9958122629582806,0.6494269080196784
Les Républicains,Group of the European People's Party (Christian Democrats),1989,1989,0.008865631603188165,0.023464860283591946,0.9693372552535449,0.9278427909532866
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),2003,2003,0.0015512445617288353,0.06255636706512668,0.9858156758368941,0.9252957907556583
Europe Écologie,Group of the Greens/European Free Alliance,1914,1917,0.0066614420062695925,0.01470402725173912,0.9721178925404277,0.9588356369414225
Parti ouvrier socialiste luxembourgeois,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1902,,0.015632629888217127,,0.9505779721057993
DIE LINKE.,,1112,0,0.10921762589928058,,0.9304315901117729,
Nieuw-Vlaamse Alliantie,European Conservatives and Reformists Group,1787,1796,0.005036373810856184,0.10233168116135698,0.9903257238307349,0.7292162728224384
Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,2038,2038,0.0073905382418995615,0.010915617768704129,0.9760851052477694,0.9495405541165037
Parti socialiste,,1483,0,0.05065343736955335,,0.9624552959043698,
Mouvement Réformateur,Group of the Alliance of Liberals and Democrats for Europe,1908,1927,0.009433962264150943,0.0302310365451578,0.9691229891022315,0.9262854234430842
Mouvement Démocrate,,1008,0,0.013392857142857142,,0.9821428571428571,
Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),2041,2041,0.03993140617344439,0.05194516800172014,0.9488363547280744,0.9243913048641015
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1316,1316,0.002994282819510783,0.07165285112058194,0.9869853550704616,0.9254436723843882
Conservative Party,European Conservatives and Reformists Group,1274,1275,0.03575847883147726,0.08920017316593887,0.9198881623344382,0.7390894608510952
,Group of the Alliance of Liberals and Democrats for Europe,0,1502,,0.0331954560773199,,0.9261026642620022
Partido Popular,Group of the European People's Party (Christian Democrats),1712,1712,0.0073590107322583954,0.012589000417862458,0.9795153026347622,0.9276346240506682
ANO 2011,Group of the Alliance of Liberals and Democrats for Europe,1957,1974,0.0,0.05066962087693165,0.9946808510638298,0.9276068172266879
Labour Party,,824,0,0.04047948409248531,,0.9837536498742347,
Democratic Unionist Party,Non-attached Members,0,1511,,0.1813095676611781,,0.42630353057555637
Dansk Folkeparti,European Conservatives and Reformists Group,1711,1818,0.006428988895382817,0.14080905167126415,0.9814356435643564,0.7380548439955646
Partija 'VIENOTĪBA',,92,0,0.21739130434782608,,0.976083707025411,
Citizens for European Development of Bulgaria,,159,0,0.40141509433962264,,0.9735731707317072,
Südtiroler Volkspartei,Group of the European People's Party (Christian Democrats),0,1995,,0.025865312973902505,,0.9244320347158611
Les Patriotes,Europe of Freedom and Direct Democracy Group,1374,1889,0.0,0.1329595784812435,0.9857067231339333,0.4174451037252198
,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1087,,0.017110624157627794,,0.9526995235435864
Prawo i Sprawiedliwość,,561,0,0.19693385936701446,,0.9553770086042137,
Conservative Party,,1111,0,0.08595195133009711,,0.9203199755202027,
Europe Écologie,Group of the Greens/European Free Alliance,1913,1930,0.0055148980658651335,0.013227418331824232,0.9699870466321242,0.9566451897902436
VMRO,European Conservatives and Reformists Group,0,1954,,0.03352691276153863,,0.7399305049319128
PODEMOS,,438,0,0.023972602739726026,,0.9915169902912622,
,Confederal Group of the European United Left - Nordic Green Left,0,1928,,0.04821590603882619,,0.7872035386665421
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1690,1690,0.023793772431153444,0.025345663654016325,0.9440859682262133,0.9217278411295238
GroenLinks,Group of the Greens/European Free Alliance,1729,1849,0.0,0.008700918947165152,0.9943212547322877,0.9577594637764172
Parti chrétien social luxembourgeois,Group of the European People's Party (Christian Democrats),1731,1733,0.02484113229347198,0.03629424769778884,0.974466243508367,0.9274910418383093
Popular Association – Golden Dawn,Non-attached Members,1943,1963,0.0,0.044457747316881624,0.9915944982170147,0.42779274937683637
Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,Group of the European People's Party (Christian Democrats),1931,1932,0.005152770585189021,0.06109889966517953,0.9847724976024665,0.9255102330155908
Miljöpartiet de gröna,,733,0,0.029331514324693043,,0.9832628173220508,
DIE LINKE.,Confederal Group of the European United Left - Nordic Green Left,1727,1727,0.028894035900405325,0.04277411939144451,0.927973777814542,0.7858352529787618
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1819,1819,0.016567845139840717,0.02446713152797081,0.9740179000460878,0.9523794030244299
Partido Popular,Group of the European People's Party (Christian Democrats),1814,1814,0.00688292895087272,0.012734162929036851,0.9801922392980907,0.926788436408785
,Europe of Freedom and Direct Democracy Group,0,1415,,0.10037946787311323,,0.38591635113336736
Plaid Cymru - Party of Wales,Group of the Greens/European Free Alliance,0,1815,,0.010621834811182503,,0.9600791279925375
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,2009,2009,0.00106662874208917,0.13737479753034418,0.9676715519423335,0.4197748425277538
Socialni demokrati,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,0,1674,,0.007984162156488906,,0.9513884499212588
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,895,895,0.01264048636214262,0.10385592268470364,0.9532666699331996,0.414945076476484
Partido da Terra,Group of the European People's Party (Christian Democrats),0,1942,,0.05258281678979162,,0.9247256334259207
Centerpartiet,Group of the Alliance of Liberals and Democrats for Europe,0,1819,,0.06383098595370323,,0.925584566121866
Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats),1775,1775,0.023169014084507042,0.03465739346276815,0.950112676056338,0.9263892527347123
Partido Social Democrata,Group of the European People's Party (Christian Democrats),1887,1887,0.003736089030206677,0.010407303269766603,0.9737678855325914,0.9260916572665469
Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1841,1841,0.004567675670337267,0.017833787349659368,0.9807778677957929,0.9511586160682511
Front national,,1114,0,0.006732495511669659,,0.9760458452722062,
Movimento 5 Stelle,Europe of Freedom and Direct Democracy Group,1864,1864,0.0018489423666462293,0.13805643978565454,0.9690139192888657,0.41677121432500086
Partido Socialista,,735,0,0.04405247813411079,,0.9784233623519337,
Partido Comunista Português,Confederal Group of the European United Left - Nordic Green Left,1693,1702,0.006497341996455995,0.2259161105849272,0.9914806110458284,0.7795256790131854
United Kingdom Independence Party,Europe of Freedom and Direct Democracy Group,1249,1249,0.013112802929656412,0.09207478102515981,0.9540236393733897,0.39362240227551576
Partido Popular,Group of the European People's Party (Christian Democrats),1623,1623,0.005034521855224258,0.013363950965676847,0.9807557219790829,0.9283492843954544
Conservatori e Riformisti,European Conservatives and Reformists Group,1481,1620,0.0,0.09425877319554085,0.9680555555555556,0.7406323202632125
Moderaterna,Group of the European People's Party (Christian Democrats),1520,1533,0.01118421052631579,0.08830882762924061,0.9781474233529028,0.9267317217494353
,Confederal Group of the European United Left - Nordic Green Left,0,1895,,0.11106983620679553,,0.7819592173570002
SMER-Sociálna demokracia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1779,1782,0.03232152894884767,0.03635431007631751,0.9692059483726151,0.9534240605433895
Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1610,1611,0.015514704747683574,0.01691488343283913,0.9702298576918614,0.946919787393289
Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats),1582,1582,0.030960105132108097,0.03048781574694944,0.9472049113219296,0.9286515246290596
Lega Nord,,1490,0,0.010335570469798657,,0.9195625308947107,
Conservative Party,,1155,0,0.09428863761183531,,0.9292593738189219,
Lista Tsipras-L'Altra Europa,Confederal Group of the European United Left - Nordic Green Left,1354,1860,0.0,0.0507743615606661,0.959274193548387,0.7907093541608997
Conservative Party,European Conservatives and Reformists Group,1638,1638,0.02461251183576652,0.07140927913896908,0.9213558954397547,0.7480921895556286
Prawo i Sprawiedliwość,European Conservatives and Reformists Group,1638,1639,0.043204554399609345,0.0855936828752905,0.9537409356963964,0.7377893553823665
Popular Association – Golden Dawn,Non-attached Members,1943,1996,0.0,0.044159143892133476,0.9917334669338678,0.42755891105222316
Conservative Party,European Conservatives and Reformists Group,1857,1857,0.006600585063832236,0.058701875681858515,0.9220976509899708,0.7389528242461462
Sozialdemokratische Partei Österreichs,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1928,1929,0.010892116182572614,0.019351083110508028,0.9864178330741318,0.9501200788781964
Partidul Social Democrat,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1911,1915,0.03639611522264583,0.04764606975231393,0.9735058435907,0.9519569667203026
